id,latitude_deg,longitude_deg,elevation_m,observed_gravity_mGal,free_air_correction_mGal,simple_bouguer_correction_mGal,free_air_anomaly_mGal,bouguer_anomaly_mGal
86,21.325183,72.240146,240.22,978000.65,74.132,-10.072,-73.48,-63.408
87,21.729606,72.075863,284.02,978034.93,87.65,-11.909,-52.718,-40.809
88,21.637557,72.12888,150.11,978019.33,46.324,-6.294,-26.99,-20.696
89,21.887213,72.128046,397.35,978039.61,122.622,-16.661,-83.011,-66.35
90,21.472215,72.151903,169.5,977998.16,52.308,-7.107,-54.145,-47.038
91,21.119594,72.138827,382.82,977978.44,118.138,-16.052,-139.696,-123.644
92,21.713245,72.640875,294.89,978002.41,91.004,-12.365,-88.598,-76.233
93,21.760785,72.18188,282.32,978027.05,87.124,-11.838,-60.079,-48.241
94,21.561277,72.345667,253.81,978000.44,78.325,-10.642,-77.886,-67.244
95,21.770967,72.896788,169.2,978000.89,52.215,-7.095,-51.326,-44.231
96,21.493796,72.473962,152.96,977998.94,47.203,-6.414,-48.265,-41.851
97,21.522733,72.667558,166.15,977994.99,51.273,-6.966,-56.28,-49.314
98,21.427541,72.17232,155.93,978004.62,48.12,-6.538,-43.501,-36.963
99,21.025419,72.192289,333.88,977968.51,103.034,-13.999,-134.52,-120.521
100,21.107891,72.040869,205.04,977993.42,63.275,-8.597,-69.854,-61.257
101,21.031429,72.168935,117.35,977986.27,36.215,-4.921,-49.94,-45.019
102,21.63641,72.27859,390.73,977997.72,120.58,-16.383,-122.864,-106.481
103,21.314356,72.17701,365.14,977994.16,112.681,-15.31,-118.526,-103.216
104,21.508571,72.088703,378.33,977997.29,116.751,-15.863,-119.465,-103.602
105,21.907566,72.120636,398.47,978041.52,122.969,-16.708,-81.452,-64.744
106,21.249292,72.460779,152.17,977992.65,46.959,-6.38,-54.31,-47.93
107,21.410383,72.206334,218.87,977998.92,67.544,-9.177,-68.624,-59.446
108,21.755551,72.36427,327.47,978016.36,101.058,-13.731,-84.697,-70.966
109,21.228798,72.503417,308.81,977972.28,95.298,-12.948,-123.021,-110.073
110,21.07698,72.690395,146.17,977958.19,45.108,-6.129,-86.919,-80.79
111,21.289751,72.039312,344.75,978001.67,106.39,-14.455,-104.721,-90.266
112,21.161221,72.79941,167.33,977955.84,51.639,-7.016,-95.802,-88.786
113,21.929698,72.6279,167.15,978024.63,51.581,-7.008,-26.948,-19.94
114,21.80812,72.081759,261.09,978043.1,80.573,-10.948,-37.469,-26.522
115,21.633404,72.873579,277.88,977985.64,85.754,-11.652,-100.114,-88.463
116,21.871461,72.920872,274.03,977998.22,84.564,-11.49,-86.349,-74.859
117,21.803672,72.061078,127.45,978057.53,39.33,-5.344,18.204,23.548
118,21.18657,72.276878,363.24,977991.88,112.095,-15.231,-120.211,-104.98
119,21.892559,72.806201,179.68,978012.73,55.449,-7.534,-42.722,-35.188
120,21.539342,72.74826,138.85,977989.23,42.85,-5.822,-53.624,-47.802
121,21.80744,72.184521,366.62,978031.02,113.14,-15.373,-82.117,-66.745
122,21.896091,72.209349,386.7,978035.34,119.334,-16.214,-83.996,-67.781
123,21.318003,72.370472,358.64,978003.98,110.676,-15.038,-106.694,-91.656
124,21.110052,72.484523,342.85,977961.66,105.805,-14.376,-144.145,-129.77
125,21.227935,72.618255,296.57,977961.37,91.522,-12.435,-130.152,-117.717
126,21.427108,72.368914,265.26,977992.34,81.858,-11.122,-89.519,-78.397
127,21.818015,72.462535,126.1,978026.56,38.913,-5.287,-12.353,-7.066
128,21.860731,72.747471,222.54,978011.68,68.675,-9.331,-56.996,-47.665
129,21.006952,72.036683,211.81,977983.08,65.364,-8.881,-82.288,-73.407
130,21.510747,72.252437,177.93,977988.59,54.908,-7.46,-66.321,-58.861
131,21.417411,72.71335,317.03,977971.89,97.834,-13.293,-125.945,-112.652
132,21.222108,72.895207,248.76,977953.71,76.768,-10.431,-123.055,-112.624
133,21.119865,72.511677,124.31,977971.98,38.363,-5.212,-66.383,-61.171
134,21.337615,72.532113,166.05,977987.61,51.245,-6.963,-63.636,-56.673
135,21.94291,72.107172,304.98,978050.79,94.116,-12.788,-43.33,-30.542
136,21.323203,72.447412,122.84,978000.69,37.908,-5.151,-37.214,-32.063
137,21.518791,72.532617,355.36,977989.52,109.665,-14.9,-120.149,-105.249
138,21.703019,72.242471,248.54,978020.01,76.701,-10.421,-56.693,-46.271
139,21.36363,72.269243,244.18,978001.77,75.353,-10.238,-73.581,-63.343
140,21.971782,72.377284,277.72,978039.08,85.705,-11.645,-46.625,-34.98
141,21.962447,72.020071,347.4,978053.48,107.209,-14.567,-53.732,-39.166
142,21.251782,72.322079,204.34,978022.95,63.06,-8.568,-40.11,-31.542
143,21.497249,72.211448,303.4,977984.74,93.631,-12.722,-108.895,-96.173
144,21.300878,72.327497,269.72,978012.2,83.235,-11.309,-71.035,-59.726
145,21.28484,72.119762,180.11,978005.71,55.581,-7.552,-49.873,-42.321
146,21.036887,72.890527,363.59,977925.28,112.204,-15.245,-186.921,-171.676
147,21.609564,72.593592,339.23,977992.45,104.686,-14.224,-112.237,-98.013
148,21.502679,72.679102,297.54,977981.21,91.819,-12.476,-110.607,-98.131
149,21.051479,72.789171,355.17,977937.02,109.607,-14.892,-172.587,-157.695
150,21.278646,72.498442,360.19,977976.27,111.154,-15.103,-134.888,-119.786
151,21.908266,72.08692,312.51,978048.52,96.44,-13.103,-47.925,-34.822
152,21.239562,72.537107,351.1,977968.79,108.351,-14.722,-139.564,-124.842
153,21.144895,72.586841,309.24,977960.2,95.432,-12.966,-135.236,-122.269
154,21.489453,72.745439,304.04,977976.9,93.827,-12.748,-116.927,-104.179
155,21.98565,72.43166,285.58,978035.83,88.131,-11.975,-52.298,-40.324
156,21.242055,72.12758,325.81,977989.5,100.547,-13.661,-111.046,-97.385
157,21.672136,72.283776,147.58,978018.04,45.544,-6.188,-27.499,-21.311
158,21.76162,72.363082,364.26,978015.91,112.411,-15.273,-96.5,-81.226
159,21.237638,72.645917,361.55,977956.77,111.575,-15.16,-154.802,-139.642
160,21.728216,72.570778,108.77,978017.19,33.568,-4.561,-16.382,-11.821
161,21.367783,72.356097,347.75,977994.97,107.314,-14.581,-112.347,-97.766
162,21.632306,72.986515,138.66,977984.1,42.791,-5.814,-58.693,-52.878
163,21.63353,72.605775,200.54,978002.02,61.885,-8.408,-59.868,-51.459
164,21.535775,72.237227,323.05,977984.13,99.694,-13.546,-115.567,-102.022
165,21.09029,72.101782,148.23,977992.12,45.743,-6.215,-53.625,-47.41
166,21.835302,72.152859,345.39,978032.57,106.587,-14.482,-74.019,-59.537
167,21.32078,72.245958,349.64,977995.26,107.899,-14.66,-112.639,-97.979
168,21.186519,72.160681,252.24,977990.62,77.841,-10.576,-87.223,-76.646
169,21.040775,72.186567,101.92,977983.41,31.451,-4.273,-48.037,-43.763
170,21.590893,72.285095,186.11,978002.88,57.434,-7.804,-54.554,-46.75
171,21.677564,72.173374,285.08,978019.6,87.975,-11.953,-68.371,-56.417
172,21.016588,72.896765,394.36,977925.62,121.698,-16.535,-196.079,-179.544
173,21.512093,72.080234,289.54,978006.06,89.353,-12.141,-83.296,-71.155
174,21.226496,72.524511,177.94,977981.27,54.913,-7.461,-73.64,-66.178
175,21.645173,72.410397,290.2,978008.07,89.556,-12.168,-81.489,-69.321
176,21.174366,72.982379,262.0,977938.18,80.852,-10.985,-142.675,-131.689
177,21.690938,72.112039,333.95,978021.5,103.058,-14.003,-81.56,-67.558
178,21.386735,72.397856,132.09,978002.49,40.764,-5.539,-38.272,-32.733
179,21.93673,72.96947,328.31,977996.17,101.316,-13.766,-105.147,-91.381
180,21.137521,72.865507,262.38,977943.23,80.97,-11.002,-137.743,-126.741
181,21.341066,72.817072,388.9,977954.64,120.014,-16.306,-165.376,-149.07
182,21.113474,72.257903,202.56,977983.98,62.511,-8.493,-78.535,-70.042
183,21.924694,72.170888,289.79,978047.13,89.428,-12.151,-42.295,-30.144
184,21.877339,72.668643,379.61,978009.41,117.147,-15.917,-107.742,-91.825
185,21.257942,72.929376,130.75,977958.74,40.35,-5.482,-81.615,-76.133
186,21.659984,72.556763,381.17,977993.1,117.629,-15.982,-124.528,-108.546
187,21.817222,72.571613,306.37,978007.4,94.544,-12.846,-87.146,-74.301
188,21.555201,72.279979,120.35,978002.34,37.14,-5.046,-34.804,-29.758
189,21.529651,72.769493,190.29,977981.88,58.723,-7.979,-76.847,-68.868
190,21.241852,72.187044,312.45,977992.12,96.423,-13.101,-104.306,-91.205
191,21.093103,72.323679,120.21,977981.36,37.095,-5.04,-55.734,-50.694
192,21.897216,72.425436,274.65,978026.1,84.757,-11.516,-58.66,-47.144
193,21.900418,72.50761,203.76,978030.49,62.882,-8.544,-32.393,-23.849
194,21.633101,72.24241,286.27,978003.53,88.344,-12.003,-84.817,-72.814
195,21.33903,72.114837,113.72,978011.05,35.095,-4.768,-24.042,-19.273
196,21.34921,72.61062,361.46,977963.92,111.547,-15.156,-147.632,-132.475
197,21.725956,72.288631,392.05,978013.0,120.986,-16.439,-107.99,-91.551
198,21.89711,72.581238,390.66,978013.97,120.559,-16.381,-106.59,-90.209
199,21.887086,72.154363,324.9,978039.07,100.263,-13.623,-61.197,-47.575
200,21.779876,72.48114,139.03,978025.6,42.903,-5.829,-17.308,-11.478
201,21.642032,72.532589,327.48,977999.32,101.06,-13.731,-101.735,-88.004
202,21.08414,72.051824,107.38,977998.16,33.136,-4.502,-34.978,-30.476
203,21.161629,72.336604,106.64,978002.66,32.908,-4.471,-30.246,-25.775
204,21.898554,72.134415,197.08,978050.1,60.82,-8.264,-10.719,-2.456
205,21.606429,72.063375,246.59,978023.56,76.099,-10.34,-52.543,-42.203
206,21.009197,72.98996,331.12,977920.58,102.184,-13.884,-181.6,-167.716
207,21.101472,72.322354,304.99,977973.83,94.119,-12.788,-120.289,-107.501
208,21.663502,72.809874,233.77,978001.11,72.142,-9.802,-71.032,-61.23
209,21.005062,72.254641,182.09,977973.05,56.192,-7.635,-83.14,-75.505
210,21.160808,72.681503,399.14,977945.58,123.174,-16.736,-177.589,-160.853
211,21.548734,72.760228,227.85,977984.07,70.316,-9.554,-86.244,-76.69
212,21.691895,72.595639,235.42,978008.75,72.649,-9.871,-63.903,-54.032
213,21.651961,72.471576,149.09,978011.84,46.008,-6.251,-34.169,-27.918
214,21.224269,72.411841,338.44,977992.99,104.443,-14.191,-111.456,-97.265
215,21.712179,72.348868,308.1,978018.52,95.081,-12.919,-76.562,-63.643
216,21.237249,72.929529,166.23,977952.56,51.299,-6.97,-98.741,-91.771
217,21.3254,72.830619,124.71,977967.21,38.487,-5.229,-71.275,-66.045
218,21.746491,72.965027,304.15,977985.44,93.861,-12.753,-108.424,-95.671
219,21.649633,72.124297,296.35,978014.03,91.455,-12.426,-77.428,-65.002
220,21.849223,72.730867,181.98,978016.89,56.158,-7.63,-39.265,-31.634
221,21.657613,72.93834,385.26,977974.3,118.891,-16.154,-144.592,-128.438
222,21.568309,72.181233,145.32,977997.89,44.845,-6.093,-46.955,-40.862
223,21.093675,72.066496,229.7,977993.65,70.886,-9.631,-77.235,-67.604
224,21.367716,72.741121,383.08,977960.16,118.22,-16.063,-158.058,-141.995
225,21.265202,72.574473,225.92,977974.83,69.718,-9.473,-94.888,-85.415
226,21.24399,72.841829,291.56,977951.64,89.975,-12.225,-138.332,-126.107
227,21.973011,72.139772,219.28,978059.0,67.669,-9.194,-8.672,0.522
228,21.393098,72.795267,182.26,977975.68,56.247,-7.642,-80.564,-72.922
229,21.892047,72.201627,395.19,978035.32,121.957,-16.57,-86.641,-70.07
230,21.631139,72.163656,222.8,978008.22,68.756,-9.342,-60.54,-51.198
231,21.794811,72.164266,368.23,978031.59,113.636,-15.44,-82.05,-66.61
232,21.502637,72.814575,168.99,977979.68,52.149,-7.086,-72.47,-65.385
233,21.576904,72.665197,163.93,978000.32,50.589,-6.874,-50.265,-43.391
234,21.492518,72.523065,109.34,978001.59,33.742,-4.585,-32.157,-27.572
235,21.195243,72.35883,295.5,978001.19,91.191,-12.39,-90.0,-77.609
236,21.722452,72.877201,210.56,977997.27,64.978,-8.829,-67.704,-58.876
237,21.280772,72.392445,359.31,978001.52,110.882,-15.066,-109.359,-94.294
238,21.024316,72.816599,241.96,977936.07,74.67,-10.146,-138.597,-128.452
239,21.645472,72.439135,390.46,978003.04,120.495,-16.372,-117.455,-101.083
240,21.177111,72.376944,155.66,978000.4,48.036,-6.527,-47.639,-41.112
241,21.940459,72.46268,360.59,978023.57,111.277,-15.119,-87.708,-72.589
242,21.953929,72.301378,332.98,978039.21,102.757,-13.962,-63.55,-49.588
243,21.914864,72.747609,331.28,978010.68,102.232,-13.89,-91.556,-77.665
244,21.370159,72.50272,353.43,977980.36,109.07,-14.82,-128.715,-113.895
245,21.015457,72.232213,328.31,977969.09,101.316,-13.766,-132.228,-118.462
246,21.928319,72.899575,287.87,978001.44,88.835,-12.07,-87.394,-75.324
247,21.428184,72.383891,139.37,977999.52,43.011,-5.844,-43.495,-37.651
248,21.966655,72.543553,109.76,978041.41,33.871,-4.602,7.544,12.146
249,21.96362,72.906472,376.25,977999.3,116.112,-15.776,-116.814,-101.038
250,21.853009,72.624238,285.0,978013.06,87.949,-11.95,-74.891,-62.941
251,21.294449,72.116898,338.96,977998.28,104.603,-14.213,-106.321,-92.108
252,21.385098,72.939832,244.46,977960.52,75.439,-10.25,-114.923,-104.673
253,21.851137,72.627708,135.19,978023.36,41.72,-5.669,-18.362,-12.693
254,21.316922,72.334906,137.56,978023.09,42.45,-5.768,-19.359,-13.591
255,21.169493,72.139272,305.67,977985.52,94.33,-12.817,-108.811,-95.995
256,21.556801,72.794025,229.09,977984.89,70.698,-9.606,-85.81,-76.204
257,21.936155,72.620073,160.16,978028.36,49.425,-6.715,-21.069,-14.354
258,21.69603,72.533461,247.48,978009.16,76.372,-10.377,-67.212,-56.835
259,21.570061,72.893893,119.26,977987.87,36.804,-5.001,-48.932,-43.931
260,21.097176,72.788597,274.59,977944.53,84.739,-11.514,-140.208,-128.694
261,21.615007,72.151675,180.7,978011.16,55.763,-7.577,-44.608,-37.031
262,21.990054,72.311722,339.27,978042.2,104.698,-14.225,-62.502,-48.276
263,21.140084,72.248489,193.11,977988.28,59.593,-8.097,-71.316,-63.219
264,21.51833,72.743946,236.57,977980.69,73.004,-9.919,-92.317,-82.398
265,21.877373,72.033532,103.49,978060.08,31.936,-4.339,28.141,32.481
266,21.740769,72.56989,121.73,978013.89,37.567,-5.104,-23.673,-18.568
267,21.697016,72.762459,217.75,978014.24,67.197,-9.13,-52.959,-43.829
268,21.702484,72.876766,243.98,977991.71,75.293,-10.23,-83.587,-73.357
269,21.359491,72.342082,280.01,978000.54,86.41,-11.741,-85.874,-74.133
270,21.293592,72.821257,187.5,977962.13,57.862,-7.862,-95.733,-87.871
271,21.809361,72.110632,308.49,978039.72,95.201,-12.935,-55.479,-42.544
272,21.810113,72.846452,358.04,977994.46,110.49,-15.012,-116.033,-101.021
273,21.867072,72.127489,333.96,978043.16,103.059,-14.003,-59.9,-45.898
274,21.913241,72.397287,111.89,978041.57,34.528,-4.691,7.038,11.73
275,21.511342,72.797295,244.15,977977.8,75.345,-10.237,-97.545,-87.308
276,21.501516,72.149917,131.48,978002.51,40.574,-5.513,-38.062,-32.549
277,21.798295,72.229251,172.61,978038.68,53.269,-7.238,-14.592,-7.354
278,21.649964,72.722253,396.0,977990.33,122.205,-16.604,-131.875,-115.271
279,21.701967,72.720037,142.75,978009.99,44.052,-5.985,-34.065,-28.079
280,21.795793,72.641148,249.67,978011.58,77.047,-10.469,-65.467,-54.998
281,21.890005,72.693948,285.45,978013.67,88.089,-11.969,-74.421,-62.452
282,21.337995,72.542724,310.74,977978.44,95.894,-13.029,-117.451,-104.421
283,21.375583,72.251799,267.89,977998.54,82.672,-11.233,-84.133,-72.9
284,21.093982,72.345696,102.93,977981.19,31.765,-4.316,-50.574,-46.258
285,21.57828,72.181598,197.94,977997.94,61.084,-8.3,-63.145,-54.845
286,21.035942,72.908451,255.31,977931.31,78.79,-10.705,-147.481,-136.776
287,21.465598,72.583392,126.36,977993.49,38.995,-5.298,-45.501,-40.203
288,21.542645,72.400851,205.19,978004.77,63.321,-8.604,-58.548,-49.944
289,21.286541,72.462006,109.96,978001.71,33.934,-4.611,-32.225,-27.615
290,21.590833,72.947283,123.57,977983.03,38.135,-5.181,-55.106,-49.924
291,21.0305,72.153351,219.08,977980.35,67.607,-9.186,-87.258,-78.072
292,21.037348,72.58623,139.81,977962.59,43.147,-5.862,-80.553,-74.69
293,21.822601,72.505889,270.26,978019.59,83.403,-11.332,-63.811,-52.479
294,21.360191,72.611454,306.84,977978.49,94.691,-12.866,-116.197,-103.331
295,21.127061,72.01811,340.18,977989.22,104.978,-14.264,-115.756,-101.492
296,21.522243,72.872124,160.05,977976.19,49.39,-6.711,-73.199,-66.488
297,21.769994,72.932118,150.24,977998.33,46.366,-6.3,-48.032,-41.732
298,21.215821,72.565133,131.37,977976.69,40.541,-5.508,-63.854,-58.346
299,21.62289,72.696651,290.93,977993.28,89.781,-12.199,-96.503,-84.304
300,21.085347,72.922499,311.94,977933.57,96.266,-13.08,-162.691,-149.611
301,21.051682,72.707239,109.48,977954.67,33.784,-4.59,-79.116,-74.526
302,21.531355,72.152539,380.86,977983.24,117.535,-15.97,-134.298,-118.329
303,21.540635,72.576288,115.59,978001.25,35.672,-4.847,-34.419,-29.572
304,21.63743,72.606715,262.39,977996.9,80.973,-11.002,-84.074,-73.072
305,21.726091,72.424131,312.72,978012.16,96.505,-13.112,-84.35,-71.237
306,21.975852,72.736444,361.29,978013.24,111.494,-15.149,-98.258,-83.109
307,21.5163,72.934367,314.23,977969.32,96.97,-13.175,-127.649,-114.474
308,21.322956,72.925569,340.52,977950.13,105.084,-14.278,-154.957,-140.679
309,21.795186,72.450839,201.84,978022.01,62.286,-8.463,-40.279,-31.816
310,21.270832,72.113238,344.45,977994.69,106.297,-14.443,-111.602,-97.159
311,21.438971,72.984841,124.03,977970.86,38.277,-5.201,-67.416,-62.215
312,21.078456,72.838898,368.44,977931.99,113.702,-15.449,-181.716,-166.268
313,21.025351,72.124663,264.28,977977.97,81.556,-11.081,-103.583,-92.502
314,21.962648,72.920842,345.19,978000.95,106.525,-14.474,-105.576,-91.103
315,21.83598,72.869896,235.7,977998.98,72.736,-9.883,-73.752,-63.869
316,21.695974,72.518838,293.07,978007.96,90.442,-12.289,-82.478,-70.19
317,21.408953,72.591275,257.92,977981.18,79.594,-10.815,-98.41,-87.596
318,21.173294,72.399003,319.48,977987.31,98.591,-13.396,-111.281,-97.886
319,21.156437,72.054762,124.49,977999.79,38.417,-5.22,-38.625,-33.405
320,21.250243,72.335197,118.11,978026.1,36.447,-4.952,-10.35,-5.398
321,21.549227,72.802853,174.13,977986.68,53.737,-7.301,-67.055,-59.754
322,21.714596,72.004632,147.86,978046.58,45.631,-6.2,0.951,7.151
323,21.660197,72.333499,361.54,978009.03,111.57,-15.159,-102.536,-87.376
324,21.279934,72.398169,165.76,978013.92,51.155,-6.95,-37.233,-30.282
325,21.954865,72.537396,392.76,978020.81,121.206,-16.468,-100.396,-83.928
326,21.737897,72.919856,201.07,977994.16,62.05,-8.431,-67.887,-59.456
327,21.554354,72.346346,154.64,978002.41,47.72,-6.484,-45.308,-38.824
328,21.611721,72.346953,336.91,977996.98,103.97,-14.127,-106.987,-92.86
329,21.4196,72.737501,297.61,977967.99,91.843,-12.479,-123.857,-111.378
330,21.247731,72.452218,249.46,977994.44,76.983,-10.46,-82.539,-72.079
331,21.355973,72.224605,266.61,977998.03,82.276,-11.179,-84.244,-73.065
332,21.757846,72.45244,315.76,978019.33,97.444,-13.24,-78.113,-64.874
333,21.014393,72.140857,168.54,977981.17,52.01,-7.067,-70.836,-63.77
334,21.116073,72.176387,398.9,977974.96,123.101,-16.726,-148.143,-131.417
335,21.046003,72.498368,392.44,977952.74,121.106,-16.455,-168.363,-151.908
336,21.040729,72.418925,295.1,977964.27,91.067,-12.373,-126.798,-114.424
337,21.855461,72.914846,159.86,978008.17,49.334,-6.703,-41.163,-34.459
338,21.703658,72.362394,304.07,978016.84,93.836,-12.75,-76.995,-64.246
339,21.474174,72.580588,121.66,977997.74,37.544,-5.101,-39.799,-34.698
340,21.097834,72.632264,109.2,977964.35,33.698,-4.579,-69.352,-64.773
341,21.491616,72.013094,177.3,978025.75,54.716,-7.434,-28.963,-21.528
342,21.473472,72.663537,238.79,977982.34,73.69,-10.012,-91.352,-81.34
343,21.173202,72.178036,360.48,977980.97,111.245,-15.115,-130.274,-115.159
344,21.433852,72.96107,318.15,977957.5,98.181,-13.34,-140.686,-127.346
345,21.398505,72.148663,322.81,977997.0,99.62,-13.536,-102.619,-89.083
346,21.61585,72.414624,227.65,978007.78,70.252,-9.545,-62.472,-52.926
